time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446300000	16.7186	4.63649	5.04416	0.679626	0.298072	lidar	0.796814	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8819	4.78399	4.57797	0.699194	0.303049	radar	2.46053	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0409	5.00965	4.65898	0.738903	0.324291	lidar	2.61287	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.2173	5.15705	4.69281	0.750709	0.320376	radar	0.997855	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3691	5.35207	4.71183	0.779491	0.331318	lidar	0.780213	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5311	5.49624	4.62419	0.790871	0.326906	radar	2.07203	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.7082	5.65004	4.63152	0.80085	0.321519	lidar	0.36085	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8628	5.81737	4.50796	0.818948	0.323597	radar	0.532024	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.03	6.03229	4.60972	0.845592	0.332861	lidar	1.61589	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1886	6.22483	4.70896	0.865266	0.335387	radar	1.18939	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.3137	6.47876	4.79396	0.907203	0.357008	lidar	2.61047	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.454	6.672	4.7117	0.927984	0.359845	radar	0.495453	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5873	6.83444	4.65392	0.940241	0.354759	lidar	0.438237	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.739	7.04187	4.85874	0.957203	0.353711	radar	0.618067	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9232	7.2178	4.87646	0.958124	0.339699	lidar	2.71193	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0212	7.38978	4.49751	0.980774	0.345232	radar	3.42181	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.114	7.66509	4.6253	1.02653	0.369709	lidar	3.21827	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2382	7.86594	4.70979	1.04302	0.367731	radar	0.183829	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.3154	8.0944	4.7101	1.07678	0.380522	lidar	1.90275	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.4156	8.30159	4.79584	1.09668	0.3806	radar	2.07015	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.5005	8.46108	4.65612	1.10948	0.374648	lidar	2.62287	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5971	8.65639	4.54322	1.12753	0.374335	radar	0.344606	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7441	8.8589	4.59006	1.13172	0.362634	lidar	3.63631	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8272	9.06329	4.44176	1.154	0.366675	radar	0.778937	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9486	9.31428	4.57775	1.17254	0.367733	lidar	3.49043	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	20.0093	9.50531	4.2921	1.197	0.373672	radar	1.78205	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0893	9.76282	4.42271	1.22542	0.382542	lidar	1.53348	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1547	10.014	4.65152	1.2525	0.388723	radar	7.78834	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.2045	10.3075	4.80006	1.29061	0.405003	lidar	1.77207	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.2358	10.512	4.46451	1.31999	0.414034	radar	3.12973	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2889	10.8099	4.66048	1.3538	0.426119	lidar	2.82034	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.3224	11.0633	4.73865	1.38282	0.432604	radar	5.28068	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3526	11.315	4.77922	1.41054	0.437845	lidar	0.153373	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.3335	11.5038	4.18903	1.45102	0.456396	radar	10.7968	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3877	11.7678	4.34527	1.47127	0.455506	lidar	4.38224	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.4058	12.0124	4.72574	1.49173	0.451171	radar	3.58275	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3879	12.3325	4.93943	1.53395	0.468637	lidar	2.0748	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.363	12.5274	4.42987	1.57035	0.482785	radar	3.98028	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3751	12.7845	4.5281	1.59296	0.482301	lidar	1.44177	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3755	12.9911	4.42442	1.61403	0.480051	radar	1.71725	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.3347	13.2114	4.42428	1.64701	0.487262	lidar	1.13463	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.3041	13.4336	4.48211	1.67377	0.488553	radar	1.43382	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2671	13.7282	4.68793	1.70516	0.495652	lidar	1.7939	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.2273	13.9298	4.47009	1.73411	0.500529	radar	0.971164	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1573	14.2175	4.67568	1.77079	0.511369	lidar	1.10063	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.094	14.4329	4.61372	1.80148	0.515815	radar	1.6255	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.973	14.7213	4.83883	1.84828	0.5342	lidar	2.46221	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.9052	14.9333	4.83389	1.87278	0.530797	radar	3.04263	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8669	15.1558	4.78343	1.88798	0.521418	lidar	1.39815	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7819	15.3102	4.12205	1.93404	0.546494	radar	8.30082	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.7462	15.4944	4.06096	1.94931	0.536575	lidar	1.67615	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.6728	15.6712	4.0552	1.97429	0.534136	radar	1.00084	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.5446	15.9228	4.30103	2.01093	0.543507	lidar	0.952149	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.4442	16.126	4.43612	2.03496	0.538215	radar	1.61117	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.324	16.3194	4.4493	2.06763	0.542852	lidar	0.50546	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.2179	16.5019	4.37897	2.09676	0.545434	radar	0.219597	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0585	16.7544	4.63679	2.13088	0.55216	lidar	0.812202	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.9217	16.9305	4.40191	2.17668	0.576202	radar	7.77496	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.7053	17.2277	4.88834	2.21532	0.586147	lidar	2.61101	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.58	17.4426	5.02834	2.22265	0.559062	radar	4.59366	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3475	17.6617	5.23617	2.26795	0.573382	lidar	3.93562	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.1903	17.8678	5.28792	2.28437	0.557431	radar	2.14898	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0756	18.0276	5.05951	2.30338	0.549854	lidar	1.14344	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9051	18.1792	4.93623	2.34079	0.561158	radar	2.12242	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.8062	18.2828	4.58572	2.36415	0.556616	lidar	1.11496	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6827	18.449	4.51166	2.37812	0.542948	radar	6.57334	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4583	18.6563	4.78373	2.40782	0.545413	lidar	0.650905	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2877	18.7905	4.70332	2.43913	0.549587	radar	1.67396	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1382	18.912	4.55849	2.46585	0.548828	lidar	0.17926	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9708	19.0791	4.57501	2.48237	0.537768	radar	3.26019	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7431	19.2042	4.66194	2.52073	0.546688	lidar	2.73528	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5458	19.364	4.73995	2.54318	0.543059	radar	3.23567	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.2886	19.5484	5.01131	2.56831	0.541322	lidar	0.651338	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0704	19.6333	4.95438	2.61038	0.555496	radar	10.0319	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8614	19.7761	4.97629	2.63221	0.550852	lidar	0.671447	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6881	19.8841	4.7054	2.64873	0.535366	radar	3.70595	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4329	20.0502	4.93954	2.66751	0.528648	lidar	1.13133	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2099	20.1981	4.95577	2.68142	0.515638	radar	5.87923	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0453	20.3066	4.78989	2.69934	0.510015	lidar	2.27442	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8189	20.3907	4.79878	2.73053	0.514888	radar	1.86583	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6051	20.5045	4.80929	2.74989	0.50989	lidar	0.765755	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.359	20.6017	4.93735	2.77738	0.513047	radar	0.963037	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1123	20.6751	4.96546	2.80782	0.516679	lidar	0.548993	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8668	20.7547	5.04546	2.8358	0.519905	radar	0.191825	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.5797	20.8253	5.17849	2.8664	0.5229	lidar	1.22861	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3113	20.8738	5.37119	2.90374	0.536546	radar	2.14995	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.0847	20.9035	5.2347	2.93682	0.542178	lidar	0.401613	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.848	20.9638	5.16511	2.95936	0.538379	radar	1.86643	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6932	20.9858	4.85149	2.98771	0.541548	lidar	2.40067	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4234	21.0344	5.00383	3.01259	0.540257	radar	2.54225	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1817	21.0697	4.98838	3.03762	0.538805	lidar	0.117329	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9363	21.0935	5.05289	3.06537	0.541028	radar	1.04912	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7073	21.0618	4.96049	3.1062	0.552642	lidar	2.14048	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4502	21.0534	5.01976	-0.254439	0.556891	radar	1.17772	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.3681	21.0677	5.0078	-0.227388	0.556863	lidar	0.0561857	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.3236	20.7806	4.81234	-1.30407	0.442479	radar	6.51233	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	11.1098	20.8063	4.0334	-0.961185	0.487971	lidar	6.76274	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	11.1641	20.6146	4.13581	-1.08791	0.342932	radar	8.87474	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.7535	20.8184	1.41415	-1.38529	-0.2736	lidar	40.4031	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.8591	20.622	3.15713	-1.29671	-0.472912	radar	8.62186	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	10.5638	20.6734	2.33277	-1.66067	-1.57213	lidar	29.7262	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	10.5282	20.5606	2.43199	-1.77767	-1.72654	radar	3.55966	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	10.1198	20.6359	1.88043	-2.52547	-3.66231	lidar	29.4094	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	10.1175	20.497	2.626	-2.30232	-2.49221	radar	6.86394	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	9.57078	20.5801	3.20635	3.10518	-4.27557	lidar	55.416	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	9.56133	20.4144	3.03152	1.48215	-2.55873	radar	10.7815	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	9.24818	20.4365	3.63546	-1.31409	-2.58417	lidar	61.4553	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	9.08271	20.2522	3.78148	-2.49446	-2.62182	radar	2.55842	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	8.37069	20.4327	3.55108	-1.34313	-2.61554	lidar	23.3773	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	8.32745	20.5797	3.86006	-0.752259	-2.64453	radar	0.659	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.28838	20.4754	3.56436	0.458062	-2.68794	lidar	6.30678	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.14759	20.2851	2.78745	-0.734951	-2.80345	radar	3.32624	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	7.02194	20.251	2.86565	-1.15337	-2.79197	lidar	3.48987	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	7.00587	20.0399	3.29279	-1.06471	-2.89261	radar	1.60374	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.5714	20.0062	2.74552	-0.508049	-3.00901	lidar	5.19633	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.49729	19.7509	2.222	3.07075	-3.19834	radar	6.12341	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	6.14323	19.8053	2.0584	0.0166605	-3.23625	lidar	7.03164	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.4158	19.4942	1.57225	3.04286	-3.50529	radar	11.2969	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.65863	19.5498	1.53583	1.85166	-3.50648	lidar	0.567708	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.63397	19.2849	-1.07113	1.87072	-3.40463	radar	11.6772	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.42365	19.3485	-0.90164	0.81084	-3.39195	lidar	5.89125	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	5.27068	19.0814	-2.90416	2.63673	-3.2253	radar	23.262	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	5.10605	19.0277	-3.18813	0.128061	-3.31175	lidar	3.94751	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	5.20736	18.7735	-2.7585	2.37999	-3.20992	radar	6.58168	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	5.09628	18.6718	-2.0877	1.92758	-3.2309	lidar	23.907	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
1477010452550000	5.06276	18.3493	-3.32756	1.10295	-3.4228	radar	7.16826	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888
1477010452600000	4.65284	18.316	-2.44605	0.0271107	-3.80633	lidar	14.514	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362
